score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac_reproj_threshold
8,131,8,0.8,40,0.04,11,0.7,5.0
8,303,9,1.0,40,0.04,9,0.7,5.0
8,128,8,0.8,40,0.04,11,0.7,3.5
8,320,9,1.0,45,0.04,11,0.7,3.5
8,301,9,1.0,40,0.04,9,0.7,4.0
8,5,7,0.8,35,0.04,10,0.7,4.0
8,323,9,1.0,45,0.04,11,0.7,5.0
8,281,9,0.9,45,0.04,10,0.7,4.0
8,279,9,0.9,45,0.04,9,0.7,5.0
8,280,9,0.9,45,0.04,10,0.7,3.5
8,64,7,0.9,45,0.04,10,0.7,3.5
8,249,9,0.8,45,0.04,11,0.7,4.0
8,241,9,0.8,45,0.04,9,0.7,4.0
8,278,9,0.9,45,0.04,9,0.7,4.5
8,257,9,0.9,35,0.04,10,0.7,4.0
8,273,9,0.9,40,0.04,11,0.7,4.0
8,235,9,0.8,40,0.04,10,0.7,5.0
8,50,7,0.9,40,0.04,9,0.7,4.5
8,251,9,0.8,45,0.04,11,0.7,5.0
8,33,7,0.8,45,0.04,11,0.7,4.0
8,36,7,0.9,35,0.04,9,0.7,3.5
8,38,7,0.9,35,0.04,9,0.7,4.5
8,237,9,0.8,40,0.04,11,0.7,4.0
8,245,9,0.8,45,0.04,10,0.7,4.0
8,243,9,0.8,45,0.04,9,0.7,5.0
8,247,9,0.8,45,0.04,10,0.7,5.0
8,229,9,0.8,40,0.04,9,0.7,4.0
8,196,8,1.0,40,0.04,10,0.7,3.5
8,216,9,0.8,35,0.04,9,0.7,3.5
8,220,9,0.8,35,0.04,10,0.7,3.5
8,234,9,0.8,40,0.04,10,0.7,4.5
8,287,9,0.9,45,0.04,11,0.7,5.0
8,180,8,1.0,35,0.04,9,0.7,3.5
8,70,7,0.9,45,0.04,11,0.7,4.5
8,82,7,1.0,35,0.04,11,0.7,4.5
8,181,8,1.0,35,0.04,9,0.7,4.0
8,77,7,1.0,35,0.04,10,0.7,4.0
8,166,8,0.9,40,0.04,11,0.7,4.5
8,233,9,0.8,40,0.04,10,0.7,4.0
8,18,7,0.8,40,0.04,10,0.7,4.5
8,24,7,0.8,45,0.04,9,0.7,3.5
8,19,7,0.8,40,0.04,10,0.7,5.0
8,10,7,0.8,35,0.04,11,0.7,4.5
8,12,7,0.8,40,0.04,9,0.7,3.5
8,83,7,1.0,35,0.04,11,0.7,5.0
8,221,9,0.8,35,0.04,10,0.7,4.0
8,35,7,0.8,45,0.04,11,0.7,5.0
8,232,9,0.8,40,0.04,10,0.7,3.5
7,2,7,0.8,35,0.04,9,0.7,4.5
7,0,7,0.8,35,0.04,9,0.7,3.5
7,156,8,0.9,40,0.04,9,0.7,3.5
7,142,8,0.8,45,0.04,11,0.7,4.5
7,144,8,0.9,35,0.04,9,0.7,3.5
7,121,8,0.8,40,0.04,9,0.7,4.0
7,133,8,0.8,45,0.04,9,0.7,4.0
7,134,8,0.8,45,0.04,9,0.7,4.5
7,132,8,0.8,45,0.04,9,0.7,3.5
7,136,8,0.8,45,0.04,10,0.7,3.5
7,305,9,1.0,40,0.04,10,0.7,4.0
7,17,7,0.8,40,0.04,10,0.7,4.0
7,15,7,0.8,40,0.04,9,0.7,5.0
7,7,7,0.8,35,0.04,10,0.7,5.0
7,302,9,1.0,40,0.04,9,0.7,4.5
7,304,9,1.0,40,0.04,10,0.7,3.5
7,130,8,0.8,40,0.04,11,0.7,4.5
7,161,8,0.9,40,0.04,10,0.7,4.0
7,159,8,0.9,40,0.04,9,0.7,5.0
7,138,8,0.8,45,0.04,10,0.7,4.5
7,141,8,0.8,45,0.04,11,0.7,4.0
7,135,8,0.8,45,0.04,9,0.7,5.0
7,322,9,1.0,45,0.04,11,0.7,4.5
7,285,9,0.9,45,0.04,11,0.7,4.0
7,269,9,0.9,40,0.04,10,0.7,4.0
7,271,9,0.9,40,0.04,10,0.7,5.0
7,265,9,0.9,40,0.04,9,0.7,4.0
7,272,9,0.9,40,0.04,11,0.7,3.5
7,56,7,0.9,40,0.04,11,0.7,3.5
7,49,7,0.9,40,0.04,9,0.7,4.0
7,242,9,0.8,45,0.04,9,0.7,4.5
7,239,9,0.8,40,0.04,11,0.7,5.0
7,274,9,0.9,40,0.04,11,0.7,4.5
7,282,9,0.9,45,0.04,10,0.7,4.5
7,42,7,0.9,35,0.04,10,0.7,4.5
7,48,7,0.9,40,0.04,9,0.7,3.5
7,254,9,0.9,35,0.04,9,0.7,4.5
7,276,9,0.9,45,0.04,9,0.7,3.5
7,162,8,0.9,40,0.04,10,0.7,4.5
7,167,8,0.9,40,0.04,11,0.7,5.0
7,65,7,0.9,45,0.04,10,0.7,4.0
7,67,7,0.9,45,0.04,10,0.7,5.0
7,86,7,1.0,40,0.04,9,0.7,4.5
7,164,8,0.9,40,0.04,11,0.7,3.5
7,165,8,0.9,40,0.04,11,0.7,4.0
7,94,7,1.0,40,0.04,11,0.7,4.5
7,88,7,1.0,40,0.04,10,0.7,3.5
7,90,7,1.0,40,0.04,10,0.7,4.5
7,92,7,1.0,40,0.04,11,0.7,3.5
7,93,7,1.0,40,0.04,11,0.7,4.0
7,198,8,1.0,40,0.04,10,0.7,4.5
7,75,7,1.0,35,0.04,9,0.7,5.0
7,172,8,0.9,45,0.04,10,0.7,3.5
7,169,8,0.9,45,0.04,9,0.7,4.0
7,58,7,0.9,40,0.04,11,0.7,4.5
7,267,9,0.9,40,0.04,9,0.7,5.0
7,59,7,0.9,40,0.04,11,0.7,5.0
6,120,8,0.8,40,0.04,9,0.7,3.5
6,277,9,0.9,45,0.04,9,0.7,4.0
6,122,8,0.8,40,0.04,9,0.7,4.5
6,143,8,0.8,45,0.04,11,0.7,5.0
6,20,7,0.8,40,0.04,11,0.7,3.5
6,4,7,0.8,35,0.04,10,0.7,3.5
6,22,7,0.8,40,0.04,11,0.7,4.5
6,21,7,0.8,40,0.04,11,0.7,4.0
6,23,7,0.8,40,0.04,11,0.7,5.0
6,139,8,0.8,45,0.04,10,0.7,5.0
6,140,8,0.8,45,0.04,11,0.7,3.5
6,137,8,0.8,45,0.04,10,0.7,4.0
6,66,7,0.9,45,0.04,10,0.7,4.5
6,286,9,0.9,45,0.04,11,0.7,4.5
6,52,7,0.9,40,0.04,10,0.7,3.5
6,57,7,0.9,40,0.04,11,0.7,4.0
6,55,7,0.9,40,0.04,10,0.7,5.0
6,177,8,0.9,45,0.04,11,0.7,4.0
6,175,8,0.9,45,0.04,10,0.7,5.0
6,51,7,0.9,40,0.04,9,0.7,5.0
6,41,7,0.9,35,0.04,10,0.7,4.0
6,266,9,0.9,40,0.04,9,0.7,4.5
5,157,8,0.9,40,0.04,9,0.7,4.0
5,176,8,0.9,45,0.04,11,0.7,3.5
5,174,8,0.9,45,0.04,10,0.7,4.5
5,179,8,0.9,45,0.04,11,0.7,5.0
5,178,8,0.9,45,0.04,11,0.7,4.5
5,53,7,0.9,40,0.04,10,0.7,4.0
5,54,7,0.9,40,0.04,10,0.7,4.5
