score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac
11,372,7,1.0,38,0.045,11,0.68,3.5
11,37,7,0.8,38,0.045,9,0.68,4.0
11,423,7,1.0,40,0.045,10,0.7,4.0
11,102,7,0.8,40,0.045,11,0.68,3.5
11,103,7,0.8,40,0.045,11,0.68,4.0
11,68,7,0.8,40,0.035,11,0.7,3.5
11,72,7,0.8,40,0.04,9,0.68,3.5
11,147,7,0.8,42,0.045,9,0.7,4.0
11,146,7,0.8,42,0.045,9,0.7,3.5
11,136,7,0.8,42,0.04,10,0.72,3.5
11,310,7,0.9,42,0.045,9,0.72,3.5
11,300,7,0.9,42,0.04,11,0.68,3.5
11,315,7,0.9,42,0.045,10,0.7,4.0
11,308,7,0.9,42,0.045,9,0.7,3.5
11,309,7,0.9,42,0.045,9,0.7,4.0
11,92,7,0.8,40,0.045,9,0.7,3.5
11,82,7,0.8,40,0.04,10,0.72,3.5
11,217,7,0.9,40,0.035,9,0.68,4.0
11,204,7,0.9,38,0.045,10,0.68,3.5
11,106,7,0.8,40,0.045,11,0.72,3.5
11,107,7,0.8,40,0.045,11,0.72,4.0
11,93,7,0.8,40,0.045,9,0.7,4.0
11,132,7,0.8,42,0.04,10,0.68,3.5
11,378,7,1.0,40,0.035,9,0.68,3.5
11,381,7,1.0,40,0.035,9,0.7,4.0
11,363,7,1.0,38,0.045,9,0.7,4.0
11,385,7,1.0,40,0.035,10,0.68,4.0
11,52,7,0.8,38,0.045,11,0.72,3.5
11,396,7,1.0,40,0.04,9,0.68,3.5
11,399,7,1.0,40,0.04,9,0.7,4.0
11,398,7,1.0,40,0.04,9,0.7,3.5
11,49,7,0.8,38,0.045,11,0.68,4.0
11,390,7,1.0,40,0.035,11,0.68,3.5
11,21,7,0.8,38,0.04,9,0.7,4.0
11,22,7,0.8,38,0.04,9,0.72,3.5
11,161,7,0.8,42,0.045,11,0.72,4.0
11,129,7,0.8,42,0.04,9,0.7,4.0
11,127,7,0.8,42,0.04,9,0.68,4.0
10,357,7,1.0,38,0.04,11,0.7,4.0
10,0,7,0.8,38,0.035,9,0.68,3.5
10,8,7,0.8,38,0.035,10,0.7,3.5
10,36,7,0.8,38,0.045,9,0.68,3.5
10,345,7,1.0,38,0.04,9,0.7,4.0
10,355,7,1.0,38,0.04,11,0.68,4.0
10,351,7,1.0,38,0.04,10,0.7,4.0
10,160,7,0.8,42,0.045,11,0.72,3.5
10,158,7,0.8,42,0.045,11,0.7,3.5
10,338,7,1.0,38,0.035,11,0.7,3.5
10,349,7,1.0,38,0.04,10,0.68,4.0
10,211,7,0.9,38,0.045,11,0.68,4.0
10,200,7,0.9,38,0.045,9,0.7,3.5
10,137,7,0.8,42,0.04,10,0.72,4.0
10,156,7,0.8,42,0.045,11,0.68,3.5
10,33,7,0.8,38,0.04,11,0.7,4.0
10,51,7,0.8,38,0.045,11,0.7,4.0
10,57,7,0.8,40,0.035,9,0.7,4.0
10,62,7,0.8,40,0.035,10,0.7,3.5
10,54,7,0.8,40,0.035,9,0.68,3.5
10,48,7,0.8,38,0.045,11,0.68,3.5
10,18,7,0.8,38,0.04,9,0.68,3.5
10,265,7,0.9,40,0.045,11,0.68,4.0
10,254,7,0.9,40,0.045,9,0.7,3.5
10,246,7,0.9,40,0.04,11,0.68,3.5
10,270,7,0.9,42,0.035,9,0.68,3.5
10,384,7,1.0,40,0.035,10,0.68,3.5
10,266,7,0.9,40,0.045,11,0.7,3.5
10,255,7,0.9,40,0.045,9,0.7,4.0
10,133,7,0.8,42,0.04,10,0.68,4.0
10,108,7,0.8,42,0.035,9,0.68,3.5
10,157,7,0.8,42,0.045,11,0.68,4.0
10,69,7,0.8,40,0.035,11,0.7,4.0
10,75,7,0.8,40,0.04,9,0.7,4.0
10,177,7,0.9,38,0.035,11,0.7,4.0
10,180,7,0.9,38,0.04,9,0.68,3.5
10,222,7,0.9,40,0.035,10,0.68,3.5
10,114,7,0.8,42,0.035,10,0.68,3.5
9,43,7,0.8,38,0.045,10,0.68,4.0
9,344,7,1.0,38,0.04,9,0.7,3.5
9,325,7,1.0,38,0.035,9,0.68,4.0
9,350,7,1.0,38,0.04,10,0.7,3.5
9,327,7,1.0,38,0.035,9,0.7,4.0
9,337,7,1.0,38,0.035,11,0.68,4.0
9,79,7,0.8,40,0.04,10,0.68,4.0
9,225,7,0.9,40,0.035,10,0.7,4.0
9,139,7,0.8,42,0.04,11,0.68,4.0
9,135,7,0.8,42,0.04,10,0.7,4.0
9,314,7,0.9,42,0.045,10,0.7,3.5
9,321,7,0.9,42,0.045,11,0.7,4.0
9,320,7,0.9,42,0.045,11,0.7,3.5
9,322,7,0.9,42,0.045,11,0.72,3.5
9,339,7,1.0,38,0.035,11,0.7,4.0
9,216,7,0.9,40,0.035,9,0.68,3.5
9,212,7,0.9,38,0.045,11,0.7,3.5
9,210,7,0.9,38,0.045,11,0.68,3.5
9,193,7,0.9,38,0.04,11,0.68,4.0
9,187,7,0.9,38,0.04,10,0.68,4.0
9,73,7,0.8,40,0.04,9,0.68,4.0
9,78,7,0.8,40,0.04,10,0.68,3.5
9,109,7,0.8,42,0.035,9,0.68,4.0
9,379,7,1.0,40,0.035,9,0.68,4.0
9,267,7,0.9,40,0.045,11,0.7,4.0
9,130,7,0.8,42,0.04,9,0.72,3.5
9,277,7,0.9,42,0.035,10,0.68,4.0
9,110,7,0.8,42,0.035,9,0.7,3.5
9,111,7,0.8,42,0.035,9,0.7,4.0
9,99,7,0.8,40,0.045,10,0.7,4.0
9,247,7,0.9,40,0.04,11,0.68,4.0
9,134,7,0.8,42,0.04,10,0.7,3.5
9,56,7,0.8,40,0.035,9,0.7,3.5
9,55,7,0.8,40,0.035,9,0.68,4.0
9,386,7,1.0,40,0.035,10,0.7,3.5
9,47,7,0.8,38,0.045,10,0.72,4.0
9,391,7,1.0,40,0.035,11,0.68,4.0
9,50,7,0.8,38,0.045,11,0.7,3.5
9,405,7,1.0,40,0.04,10,0.7,4.0
8,20,7,0.8,38,0.04,9,0.7,3.5
8,19,7,0.8,38,0.04,9,0.68,4.0
8,25,7,0.8,38,0.04,10,0.68,4.0
8,24,7,0.8,38,0.04,10,0.68,3.5
8,31,7,0.8,38,0.04,11,0.68,4.0
8,60,7,0.8,40,0.035,10,0.68,3.5
8,63,7,0.8,40,0.035,10,0.7,4.0
8,66,7,0.8,40,0.035,11,0.68,3.5
8,380,7,1.0,40,0.035,9,0.7,3.5
8,61,7,0.8,40,0.035,10,0.68,4.0
8,393,7,1.0,40,0.035,11,0.7,4.0
8,392,7,1.0,40,0.035,11,0.7,3.5
8,262,7,0.9,40,0.045,10,0.72,3.5
8,282,7,0.9,42,0.035,11,0.68,3.5
8,260,7,0.9,40,0.045,10,0.7,3.5
8,261,7,0.9,40,0.045,10,0.7,4.0
8,128,7,0.8,42,0.04,9,0.7,3.5
8,294,7,0.9,42,0.04,10,0.68,3.5
8,230,7,0.9,40,0.035,11,0.7,3.5
8,228,7,0.9,40,0.035,11,0.68,3.5
8,120,7,0.8,42,0.035,11,0.68,3.5
8,121,7,0.8,42,0.035,11,0.68,4.0
