score,iteration,sift_nfeatures,sift_nOctaveLayers,sift_contrastThreshold,sift_edgeThreshold,sift_sigma,min_match_count,good_matches_threshold,mask_scale,ransac
100,29,0,4,0.04303030303030303,12.303030303030303,0.7151515151515151,56,0.7696969696969698,1,4.171717171717171
100,32,0,3,0.03151515151515152,11.878787878787879,0.6101010101010101,46,0.7484848484848485,1,5.383838383838384
100,274,0,7,0.056363636363636366,8.606060606060606,0.9575757575757576,40,0.7848484848484849,1,3.1616161616161618
100,597,0,6,0.026666666666666665,11.878787878787879,0.9656565656565657,48,0.7787878787878788,1,3.6464646464646466
100,946,0,4,0.056363636363636366,12.06060606060606,1.0707070707070707,45,0.7727272727272727,1,3.3636363636363638
100,241,0,7,0.02303030303030303,13.151515151515152,1.1111111111111112,56,0.7363636363636363,1,3.7676767676767677
100,703,0,4,0.045454545454545456,12.969696969696969,0.46464646464646464,58,0.7878787878787878,1,5.424242424242424
100,583,0,3,0.06303030303030303,12.424242424242426,1.1515151515151514,43,0.790909090909091,1,5.626262626262626
100,701,0,6,0.04,13.393939393939394,0.7151515151515151,58,0.7848484848484849,1,3.3636363636363638
100,869,0,7,0.02,13.454545454545455,1.0464646464646465,45,0.7424242424242424,1,6.595959595959597
100,604,0,4,0.06666666666666667,12.969696969696969,1.1353535353535353,45,0.7545454545454546,1,6.272727272727273
97,273,0,4,0.0393939393939394,12.787878787878789,0.6828282828282828,54,0.7515151515151515,1,4.090909090909091
96,876,0,7,0.07515151515151515,9.393939393939394,1.0545454545454547,58,0.7545454545454546,1,5.222222222222222
93,278,0,3,0.05818181818181818,11.93939393939394,0.9656565656565657,56,0.7696969696969698,1,4.5353535353535355
88,589,0,6,0.03636363636363636,13.454545454545455,0.98989898989899,43,0.7151515151515152,1,3.7272727272727275
87,914,0,4,0.07333333333333333,13.636363636363637,0.9090909090909091,56,0.7393939393939395,1,4.696969696969697
83,233,0,3,0.04363636363636364,11.93939393939394,0.4565656565656566,56,0.7787878787878788,1,4.292929292929293
74,105,0,6,0.06909090909090909,13.878787878787879,1.0222222222222221,58,0.7636363636363637,1,4.333333333333334
71,867,0,7,0.0496969696969697,12.242424242424242,1.0464646464646465,55,0.7424242424242424,1,4.05050505050505
