index,score,params,iteration
183,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03414141414141414), 'sift_edgeThreshold': np.float64(8.93939393939394), 'sift_sigma': np.float64(0.5252525252525253), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.693939393939394), 'mask_scale': 1}",183
154,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03373737373737373), 'sift_edgeThreshold': np.float64(11.969696969696969), 'sift_sigma': np.float64(0.5737373737373738), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8606060606060606), 'mask_scale': 1}",154
161,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.036565656565656565), 'sift_edgeThreshold': np.float64(14.595959595959595), 'sift_sigma': np.float64(0.8), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.7757575757575758), 'mask_scale': 1}",161
160,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.020808080808080807), 'sift_edgeThreshold': np.float64(14.696969696969697), 'sift_sigma': np.float64(0.7595959595959596), 'min_match_count': 42, 'good_matches_threshold': np.float64(0.7484848484848485), 'mask_scale': 1}",160
159,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.043838383838383836), 'sift_edgeThreshold': np.float64(14.797979797979798), 'sift_sigma': np.float64(0.6868686868686869), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.6636363636363636), 'mask_scale': 1}",159
158,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.057171717171717165), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.7353535353535354), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.6666666666666666), 'mask_scale': 1}",158
157,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.051515151515151514), 'sift_edgeThreshold': np.float64(10.757575757575758), 'sift_sigma': np.float64(0.6181818181818182), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6393939393939394), 'mask_scale': 1}",157
155,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03777777777777777), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.6424242424242425), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8696969696969696), 'mask_scale': 1}",155
153,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.020808080808080807), 'sift_edgeThreshold': np.float64(10.757575757575758), 'sift_sigma': np.float64(0.7030303030303031), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.6333333333333333), 'mask_scale': 1}",153
221,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.028888888888888888), 'sift_edgeThreshold': np.float64(10.656565656565657), 'sift_sigma': np.float64(0.6181818181818182), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.796969696969697), 'mask_scale': 1}",221
