score,params,iteration
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.023636363636363636), 'sift_edgeThreshold': np.float64(11.969696969696969), 'sift_sigma': np.float64(0.7555555555555555), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.9), 'mask_scale': 1}",151
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04181818181818182), 'sift_edgeThreshold': np.float64(6.515151515151516), 'sift_sigma': np.float64(0.49292929292929294), 'min_match_count': 57, 'good_matches_threshold': np.float64(0.6454545454545454), 'mask_scale': 1}",150
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05757575757575757), 'sift_edgeThreshold': np.float64(5.707070707070707), 'sift_sigma': np.float64(0.42020202020202024), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.6818181818181818), 'mask_scale': 1}",186
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03575757575757575), 'sift_edgeThreshold': np.float64(14.494949494949495), 'sift_sigma': np.float64(0.8), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.6181818181818182), 'mask_scale': 1}",200
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04505050505050505), 'sift_edgeThreshold': np.float64(8.838383838383837), 'sift_sigma': np.float64(0.7353535353535354), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.6333333333333333), 'mask_scale': 1}",199
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0507070707070707), 'sift_edgeThreshold': np.float64(12.575757575757574), 'sift_sigma': np.float64(0.7595959595959596), 'min_match_count': 53, 'good_matches_threshold': np.float64(0.6818181818181818), 'mask_scale': 1}",198
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.026868686868686868), 'sift_edgeThreshold': np.float64(11.363636363636363), 'sift_sigma': np.float64(0.6909090909090909), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.8151515151515152), 'mask_scale': 1}",197
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.058383838383838385), 'sift_edgeThreshold': np.float64(5.505050505050505), 'sift_sigma': np.float64(0.5171717171717172), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.6909090909090909), 'mask_scale': 1}",202
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.032929292929292926), 'sift_edgeThreshold': np.float64(12.474747474747474), 'sift_sigma': np.float64(0.7757575757575758), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.6333333333333333), 'mask_scale': 1}",295
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.02), 'sift_edgeThreshold': np.float64(8.030303030303031), 'sift_sigma': np.float64(0.6666666666666667), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.8909090909090909), 'mask_scale': 1}",221
